,Segment,Country, Product , Discount Band ,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Discounts , Sales,COGS,Profit,Date,Month Number, Month Name ,Year
0,Government,Canada, Carretera , None ,1618.5,249.0,1660.0,2686710.0,0.0,2686710.0,1343355.0,1343355.0,1/1/2014,1, January ,2014
1,Government,Germany, Carretera , None ,1321.0,249.0,1660.0,2192860.0,0.0,2192860.0,1096430.0,1096430.0,1/1/2014,1, January ,2014
2,Midmarket,France, Carretera , None ,2178.0,249.0,1245.0,2711610.0,0.0,2711610.0,1807740.0,903870.0,6/1/2014,6, June ,2014
3,Midmarket,Germany, Carretera , None ,888.0,249.0,1245.0,1105560.0,0.0,1105560.0,737040.0,368520.0,6/1/2014,6, June ,2014
4,Midmarket,Mexico, Carretera , None ,2470.0,249.0,1245.0,3075150.0,0.0,3075150.0,2050100.0,1025050.0,6/1/2014,6, June ,2014
5,Government,Germany, Carretera , None ,1513.0,249.0,29050.0,43952650.0,0.0,43952650.0,32650540.0,11302110.0,12/1/2014,12, December ,2014
6,Midmarket,Germany, Montana , None ,921.0,415.0,1245.0,1146645.0,0.0,1146645.0,764430.0,382215.0,3/1/2014,3, March ,2014
7,Channel Partners,Canada, Montana , None ,2518.0,415.0,996.0,2507928.0,0.0,2507928.0,626982.0,1880946.0,6/1/2014,6, June ,2014
8,Government,France, Montana , None ,1899.0,415.0,1660.0,3152340.0,0.0,3152340.0,1576170.0,1576170.0,6/1/2014,6, June ,2014
9,Channel Partners,Germany, Montana , None ,1545.0,415.0,996.0,1538820.0,0.0,1538820.0,384705.0,1154115.0,6/1/2014,6, June ,2014
10,Midmarket,Mexico, Montana , None ,2470.0,415.0,1245.0,3075150.0,0.0,3075150.0,2050100.0,1025050.0,6/1/2014,6, June ,2014
11,Enterprise,Canada, Montana , None ,2665.5,415.0,10375.0,27654562.5,0.0,27654562.5,26548380.0,1106182.5,7/1/2014,7, July ,2014
12,Small Business,Mexico, Montana , None ,958.0,415.0,24900.0,23854200.0,0.0,23854200.0,19878500.0,3975700.0,8/1/2014,8, August ,2014
13,Government,Germany, Montana , None ,2146.0,415.0,581.0,1246826.0,0.0,1246826.0,890590.0,356236.0,9/1/2014,9, September ,2014
14,Enterprise,Canada, Montana , None ,345.0,415.0,10375.0,3579375.0,0.0,3579375.0,3436200.0,143175.0,10/1/2013,10, October ,2013
15,Midmarket,United States of America, Montana , None ,615.0,415.0,1245.0,765675.0,0.0,765675.0,510450.0,255225.0,12/1/2014,12, December ,2014
16,Government,Canada, Paseo , None ,292.0,830.0,1660.0,484720.0,0.0,484720.0,242360.0,242360.0,2/1/2014,2, February ,2014
17,Midmarket,Mexico, Paseo , None ,974.0,830.0,1245.0,1212630.0,0.0,1212630.0,808420.0,404210.0,2/1/2014,2, February ,2014
18,Channel Partners,Canada, Paseo , None ,2518.0,830.0,996.0,2507928.0,0.0,2507928.0,626982.0,1880946.0,6/1/2014,6, June ,2014
19,Government,Germany, Paseo , None ,1006.0,830.0,29050.0,29224300.0,0.0,29224300.0,21709480.0,7514820.0,6/1/2014,6, June ,2014
20,Channel Partners,Germany, Paseo , None ,367.0,830.0,996.0,365532.0,0.0,365532.0,91383.0,274149.0,7/1/2014,7, July ,2014
21,Government,Mexico, Paseo , None ,883.0,830.0,581.0,513023.0,0.0,513023.0,366445.0,146578.0,8/1/2014,8, August ,2014
22,Midmarket,France, Paseo , None ,549.0,830.0,1245.0,683505.0,0.0,683505.0,455670.0,227835.0,9/1/2013,9, September ,2013
23,Small Business,Mexico, Paseo , None ,788.0,830.0,24900.0,19621200.0,0.0,19621200.0,16351000.0,3270200.0,9/1/2013,9, September ,2013
24,Midmarket,Mexico, Paseo , None ,2472.0,830.0,1245.0,3077640.0,0.0,3077640.0,2051760.0,1025880.0,9/1/2014,9, September ,2014
25,Government,United States of America, Paseo , None ,1143.0,830.0,581.0,664083.0,0.0,664083.0,474345.0,189738.0,10/1/2014,10, October ,2014
26,Government,Canada, Paseo , None ,1725.0,830.0,29050.0,50111250.0,0.0,50111250.0,37225500.0,12885750.0,11/1/2013,11, November ,2013
27,Channel Partners,United States of America, Paseo , None ,912.0,830.0,996.0,908352.0,0.0,908352.0,227088.0,681264.0,11/1/2013,11, November ,2013
28,Midmarket,Canada, Paseo , None ,2152.0,830.0,1245.0,2679240.0,0.0,2679240.0,1786160.0,893080.0,12/1/2013,12, December ,2013
29,Government,Canada, Paseo , None ,1817.0,830.0,1660.0,3016220.0,0.0,3016220.0,1508110.0,1508110.0,12/1/2014,12, December ,2014
30,Government,Germany, Paseo , None ,1513.0,830.0,29050.0,43952650.0,0.0,43952650.0,32650540.0,11302110.0,12/1/2014,12, December ,2014
31,Government,Mexico, Velo , None ,1493.0,9960.0,581.0,867433.0,0.0,867433.0,619595.0,247838.0,1/1/2014,1, January ,2014
32,Enterprise,France, Velo , None ,1804.0,9960.0,10375.0,18716500.0,0.0,18716500.0,17967840.0,748660.0,2/1/2014,2, February ,2014
33,Channel Partners,Germany, Velo , None ,2161.0,9960.0,996.0,2152356.0,0.0,2152356.0,538089.0,1614267.0,3/1/2014,3, March ,2014
34,Government,Germany, Velo , None ,1006.0,9960.0,29050.0,29224300.0,0.0,29224300.0,21709480.0,7514820.0,6/1/2014,6, June ,2014
35,Channel Partners,Germany, Velo , None ,1545.0,9960.0,996.0,1538820.0,0.0,1538820.0,384705.0,1154115.0,6/1/2014,6, June ,2014
36,Enterprise,United States of America, Velo , None ,2821.0,9960.0,10375.0,29267875.0,0.0,29267875.0,28097160.0,1170715.0,8/1/2014,8, August ,2014
37,Enterprise,Canada, Velo , None ,345.0,9960.0,10375.0,3579375.0,0.0,3579375.0,3436200.0,143175.0,10/1/2013,10, October ,2013
38,Small Business,Canada, VTT , None ,2001.0,20750.0,24900.0,49824900.0,0.0,49824900.0,41520750.0,8304150.0,2/1/2014,2, February ,2014
39,Channel Partners,Germany, VTT , None ,2838.0,20750.0,996.0,2826648.0,0.0,2826648.0,706662.0,2119986.0,4/1/2014,4, April ,2014
40,Midmarket,France, VTT , None ,2178.0,20750.0,1245.0,2711610.0,0.0,2711610.0,1807740.0,903870.0,6/1/2014,6, June ,2014
41,Midmarket,Germany, VTT , None ,888.0,20750.0,1245.0,1105560.0,0.0,1105560.0,737040.0,368520.0,6/1/2014,6, June ,2014
