Year,Quarter,Month,Day,Sum of SalesVolume,RegionName
1995,Qtr 1,January,1,2129,Greater Manchester
1995,Qtr 1,January,1,1022,Merseyside
1995,Qtr 1,January,1,940,South Yorkshire
1995,Qtr 1,January,1,805,Tyne and Wear
1995,Qtr 1,January,1,1832,West Midlands
1995,Qtr 1,January,1,1955,West Yorkshire
1995,Qtr 1,February,1,2176,Greater Manchester
1995,Qtr 1,February,1,1224,Merseyside
1995,Qtr 1,February,1,874,South Yorkshire
1995,Qtr 1,February,1,828,Tyne and Wear
1995,Qtr 1,February,1,1972,West Midlands
1995,Qtr 1,February,1,1845,West Yorkshire
1995,Qtr 1,March,1,3127,Greater Manchester
1995,Qtr 1,March,1,1470,Merseyside
1995,Qtr 1,March,1,1311,South Yorkshire
1995,Qtr 1,March,1,1228,Tyne and Wear
1995,Qtr 1,March,1,2571,West Midlands
1995,Qtr 1,March,1,2713,West Yorkshire
1995,Qtr 2,April,1,2359,Greater Manchester
1995,Qtr 2,April,1,1118,Merseyside
1995,Qtr 2,April,1,1125,South Yorkshire
1995,Qtr 2,April,1,1003,Tyne and Wear
1995,Qtr 2,April,1,2183,West Midlands
1995,Qtr 2,April,1,2323,West Yorkshire
1995,Qtr 2,May,1,2686,Greater Manchester
1995,Qtr 2,May,1,1431,Merseyside
1995,Qtr 2,May,1,1316,South Yorkshire
1995,Qtr 2,May,1,1136,Tyne and Wear
1995,Qtr 2,May,1,2553,West Midlands
1995,Qtr 2,May,1,2608,West Yorkshire
1995,Qtr 2,June,1,3323,Greater Manchester
1995,Qtr 2,June,1,1630,Merseyside
1995,Qtr 2,June,1,1596,South Yorkshire
1995,Qtr 2,June,1,1351,Tyne and Wear
1995,Qtr 2,June,1,2898,West Midlands
1995,Qtr 2,June,1,2862,West Yorkshire
1995,Qtr 3,July,1,2791,Greater Manchester
1995,Qtr 3,July,1,1268,Merseyside
1995,Qtr 3,July,1,1217,South Yorkshire
1995,Qtr 3,July,1,1138,Tyne and Wear
1995,Qtr 3,July,1,2519,West Midlands
1995,Qtr 3,July,1,2558,West Yorkshire
1995,Qtr 3,August,1,2786,Greater Manchester
1995,Qtr 3,August,1,1431,Merseyside
1995,Qtr 3,August,1,1478,South Yorkshire
1995,Qtr 3,August,1,1243,Tyne and Wear
1995,Qtr 3,August,1,2747,West Midlands
1995,Qtr 3,August,1,2629,West Yorkshire
1995,Qtr 3,September,1,2916,Greater Manchester
1995,Qtr 3,September,1,1479,Merseyside
1995,Qtr 3,September,1,1428,South Yorkshire
